,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
621,15.849914121627808,0.5149766082237947,0.07116079330444336,0.050082416306303855,friedman_mse,0.009,5,0.5,10,40,200,"{'criterion': 'friedman_mse', 'learning_rate': 0.009, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 40, 'n_estimators': 200}",0.9411764705882353,0.9205882352941176,0.9176470588235294,0.9411764705882353,0.9470588235294117,0.9335294117647059,0.011997692973159505,1088,0.9647058823529412,0.9683823529411765,0.9691176470588235,0.9639705882352941,0.9639705882352941,0.9660294117647059,0.002249567432467397
1277,32.00597219467163,0.6506511048964368,0.08581414222717285,0.06409127562066474,squared_error,0.005,4,0.5,10,60,500,"{'criterion': 'squared_error', 'learning_rate': 0.005, 'max_depth': 4, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 60, 'n_estimators': 500}",0.9411764705882353,0.9205882352941176,0.9176470588235294,0.9411764705882353,0.9470588235294117,0.9335294117647059,0.011997692973159505,1088,0.9632352941176471,0.9669117647058824,0.9669117647058824,0.9639705882352941,0.9602941176470589,0.9642647058823529,0.0024869903713658384
630,16.003052473068237,0.4133954165861872,0.08986144065856934,0.03805504315914593,friedman_mse,0.009,5,0.5,15,40,200,"{'criterion': 'friedman_mse', 'learning_rate': 0.009, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 40, 'n_estimators': 200}",0.9441176470588235,0.9205882352941176,0.9205882352941176,0.9352941176470588,0.9470588235294117,0.9335294117647059,0.011253603805711183,1088,0.9602941176470589,0.9661764705882353,0.9661764705882353,0.9647058823529412,0.9654411764705882,0.9645588235294118,0.0022009749333964284
1611,15.887301301956176,0.2693539901488488,0.03609399795532227,0.04642468727555729,squared_error,0.009,5,0.5,20,40,200,"{'criterion': 'squared_error', 'learning_rate': 0.009, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 20, 'min_samples_split': 40, 'n_estimators': 200}",0.95,0.9205882352941176,0.9176470588235294,0.9352941176470588,0.9441176470588235,0.9335294117647059,0.012698254791131123,1088,0.9588235294117647,0.9661764705882353,0.9683823529411765,0.9625,0.9632352941176471,0.9638235294117647,0.0032685457016018806
409,28.550786209106445,0.49142320381704874,0.13431844711303711,0.06018835562549741,friedman_mse,0.005,6,0.3,10,50,400,"{'criterion': 'friedman_mse', 'learning_rate': 0.005, 'max_depth': 6, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 50, 'n_estimators': 400}",0.9441176470588235,0.9176470588235294,0.9205882352941176,0.9411764705882353,0.9441176470588235,0.9335294117647059,0.011852612752711707,1088,0.9676470588235294,0.9727941176470588,0.9720588235294118,0.9691176470588235,0.9669117647058824,0.9697058823529412,0.0023437319780160544
717,16.762368869781493,0.38349143194234137,0.07205276489257813,0.043512133099323155,friedman_mse,0.009,6,0.5,15,60,200,"{'criterion': 'friedman_mse', 'learning_rate': 0.009, 'max_depth': 6, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 60, 'n_estimators': 200}",0.9411764705882353,0.9205882352941176,0.9147058823529411,0.9382352941176471,0.9529411764705882,0.9335294117647059,0.013994561474553318,1088,0.9602941176470589,0.9676470588235294,0.9691176470588235,0.961764705882353,0.9639705882352941,0.9645588235294118,0.0033663303359586926
1635,13.407009172439576,0.24831591674048062,0.09974436759948731,0.041102352096545426,squared_error,0.009,6,0.3,15,60,200,"{'criterion': 'squared_error', 'learning_rate': 0.009, 'max_depth': 6, 'max_features': 0.3, 'min_samples_leaf': 15, 'min_samples_split': 60, 'n_estimators': 200}",0.9529411764705882,0.9205882352941176,0.9205882352941176,0.9323529411764706,0.9411764705882353,0.9335294117647059,0.012422771812907575,1088,0.9602941176470589,0.9632352941176471,0.9669117647058824,0.9632352941176471,0.9661764705882353,0.9639705882352942,0.0023712522789113297
376,28.87690019607544,0.5464887449285085,0.13472166061401367,0.061637569866068886,friedman_mse,0.005,5,0.4,20,60,400,"{'criterion': 'friedman_mse', 'learning_rate': 0.005, 'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 20, 'min_samples_split': 60, 'n_estimators': 400}",0.9470588235294117,0.9176470588235294,0.9176470588235294,0.9382352941176471,0.9470588235294117,0.9335294117647059,0.013362137284235943,1088,0.9588235294117647,0.9632352941176471,0.9661764705882353,0.961764705882353,0.961764705882353,0.9623529411764705,0.002389423060187039
1608,15.71723494529724,0.07521827366502948,0.03532052040100098,0.039690486535835345,squared_error,0.009,5,0.5,15,60,200,"{'criterion': 'squared_error', 'learning_rate': 0.009, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 60, 'n_estimators': 200}",0.9411764705882353,0.9205882352941176,0.9205882352941176,0.9382352941176471,0.9441176470588235,0.9329411764705883,0.010256232808331014,1113,0.9580882352941177,0.9610294117647059,0.9654411764705882,0.9602941176470589,0.9588235294117647,0.960735294117647,0.0025724787771376234
1599,15.244214248657226,0.4431000065877153,0.05654363632202149,0.05148117817095954,squared_error,0.009,5,0.5,10,60,200,"{'criterion': 'squared_error', 'learning_rate': 0.009, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 60, 'n_estimators': 200}",0.9411764705882353,0.9205882352941176,0.9176470588235294,0.9382352941176471,0.9470588235294117,0.9329411764705883,0.011676137200752487,1113,0.9610294117647059,0.9610294117647059,0.9654411764705882,0.9625,0.9610294117647059,0.9622058823529412,0.0017149858514250822
