,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
268,49.800048828125,0.3464332637160575,0.011896538734436034,0.00116267651263643,0.5,1,0.01,4,600,3,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 600, 'scale_pos_weight': 3, 'subsample': 0.8}",0.892018779342723,0.92018779342723,0.9295774647887324,0.9248826291079812,0.9530516431924883,0.9483568075117371,0.8773584905660378,0.9386792452830188,0.8537735849056604,0.7216981132075472,0.8959584551333155,0.06549190913516398,88,0.9796131730266597,0.9754312598013591,0.9769994772608468,0.978044955567172,0.9785676947203346,0.9749085206481966,0.9738766980146291,0.977533960292581,0.9770114942528736,0.9785788923719958,0.9770566125956648,0.001723792805707533
267,53.24303314685822,3.0339220461327847,0.012250304222106934,0.001391357093563408,0.5,1,0.01,4,600,1,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 600, 'scale_pos_weight': 1, 'subsample': 0.8}",0.892018779342723,0.92018779342723,0.9295774647887324,0.9248826291079812,0.9530516431924883,0.9483568075117371,0.8773584905660378,0.9386792452830188,0.8537735849056604,0.7216981132075472,0.8959584551333155,0.06549190913516398,88,0.9796131730266597,0.9754312598013591,0.9769994772608468,0.978044955567172,0.9785676947203346,0.9749085206481966,0.9738766980146291,0.977533960292581,0.9770114942528736,0.9785788923719958,0.9770566125956648,0.001723792805707533
314,58.38608274459839,0.33341099159481163,0.010230684280395507,0.0022707051041150742,0.5,1,0.05,5,600,5,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 5, 'subsample': 0.8}",0.8967136150234741,0.9248826291079812,0.9154929577464789,0.9295774647887324,0.9530516431924883,0.9577464788732394,0.8726415094339622,0.9339622641509434,0.8537735849056604,0.7216981132075472,0.8959540260430507,0.0660004575849387,94,0.992681651855724,0.9921589127025614,0.9911134343962362,0.9916361735493988,0.9911134343962362,0.9895452169367486,0.9921630094043887,0.9921630094043887,0.9911180773249739,0.9921630094043887,0.9915855929375045,0.0008579277872178952
312,60.42479512691498,0.4958809179255816,0.01078193187713623,0.0016210772063235492,0.5,1,0.05,5,600,1,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8967136150234741,0.9248826291079812,0.9154929577464789,0.9295774647887324,0.9530516431924883,0.9577464788732394,0.8726415094339622,0.9339622641509434,0.8537735849056604,0.7216981132075472,0.8959540260430507,0.0660004575849387,94,0.992681651855724,0.9921589127025614,0.9911134343962362,0.9916361735493988,0.9911134343962362,0.9895452169367486,0.9921630094043887,0.9921630094043887,0.9911180773249739,0.9921630094043887,0.9915855929375045,0.0008579277872178952
313,59.543573546409604,0.8311396889749727,0.009864616394042968,0.001664717052828714,0.5,1,0.05,5,600,3,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 3, 'subsample': 0.8}",0.8967136150234741,0.9248826291079812,0.9154929577464789,0.9295774647887324,0.9530516431924883,0.9577464788732394,0.8726415094339622,0.9339622641509434,0.8537735849056604,0.7216981132075472,0.8959540260430507,0.0660004575849387,94,0.992681651855724,0.9921589127025614,0.9911134343962362,0.9916361735493988,0.9911134343962362,0.9895452169367486,0.9921630094043887,0.9921630094043887,0.9911180773249739,0.9921630094043887,0.9915855929375045,0.0008579277872178952
298,17.008778858184815,0.22983345958701565,0.009199213981628419,0.001311583272327953,0.5,1,0.05,4,200,3,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'scale_pos_weight': 3, 'subsample': 0.8}",0.8967136150234741,0.9248826291079812,0.9154929577464789,0.9295774647887324,0.9577464788732394,0.9577464788732394,0.8679245283018868,0.9386792452830188,0.8537735849056604,0.7169811320754716,0.8959518114979182,0.0681233766285875,97,0.9864087820177732,0.9848405645582854,0.9827496079456352,0.9832723470987977,0.9811813904861474,0.9837950862519603,0.9843260188087775,0.9827586206896551,0.9822361546499477,0.9853709508881923,0.9836939523395172,0.0014929703199813044
299,16.586352753639222,0.188179877454221,0.009133124351501464,0.0007428664853960968,0.5,1,0.05,4,200,5,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'scale_pos_weight': 5, 'subsample': 0.8}",0.8967136150234741,0.9248826291079812,0.9154929577464789,0.9295774647887324,0.9577464788732394,0.9577464788732394,0.8679245283018868,0.9386792452830188,0.8537735849056604,0.7169811320754716,0.8959518114979182,0.0681233766285875,97,0.9864087820177732,0.9848405645582854,0.9827496079456352,0.9832723470987977,0.9811813904861474,0.9837950862519603,0.9843260188087775,0.9827586206896551,0.9822361546499477,0.9853709508881923,0.9836939523395172,0.0014929703199813044
297,16.779803800582886,0.29295731674081565,0.009027361869812012,0.0010670070415412841,0.5,1,0.05,4,200,1,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8967136150234741,0.9248826291079812,0.9154929577464789,0.9295774647887324,0.9577464788732394,0.9577464788732394,0.8679245283018868,0.9386792452830188,0.8537735849056604,0.7169811320754716,0.8959518114979182,0.0681233766285875,97,0.9864087820177732,0.9848405645582854,0.9827496079456352,0.9832723470987977,0.9811813904861474,0.9837950862519603,0.9843260188087775,0.9827586206896551,0.9822361546499477,0.9853709508881923,0.9836939523395172,0.0014929703199813044
10,16.290711188316344,0.30103630413312793,0.011125874519348145,0.002725594733306805,0.5,0,0.1,4,200,3,0.8,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'scale_pos_weight': 3, 'subsample': 0.8}",0.9014084507042254,0.9248826291079812,0.9295774647887324,0.9295774647887324,0.9436619718309859,0.9577464788732394,0.8632075471698113,0.9339622641509434,0.8584905660377359,0.7169811320754716,0.8959495969527858,0.06721146246371307,100,0.9989545216936748,0.9989545216936748,0.9989545216936748,0.9994772608468374,0.9989545216936748,0.9989545216936748,0.9994775339602926,0.9994775339602926,0.9994775339602926,0.9989550679205852,0.9991637539116676,0.00025614464726982165
9,16.42303338050842,0.35205732905239706,0.0097642183303833,0.001317198015802226,0.5,0,0.1,4,200,1,0.8,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.9014084507042254,0.9248826291079812,0.9295774647887324,0.9295774647887324,0.9436619718309859,0.9577464788732394,0.8632075471698113,0.9339622641509434,0.8584905660377359,0.7169811320754716,0.8959495969527858,0.06721146246371307,100,0.9989545216936748,0.9989545216936748,0.9989545216936748,0.9994772608468374,0.9989545216936748,0.9989545216936748,0.9994775339602926,0.9994775339602926,0.9994775339602926,0.9989550679205852,0.9991637539116676,0.00025614464726982165
